city,state,fiscal_year,police_budget_usd,city_budget_usd,budget_type,police_pct,police_per_capita_usd,police_employees,source_url,retrieved,police_dept_only_usd,other_police_agency_usd,police_employee_resident_ratio,city_budget_usd_basis,police_employees_basis
Los Angeles,CA,2020,1735493169,5259070209,city funds,0.33,420,13416,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/los-angeles-ca,2026-09-14,1735493169,0,1 : 308,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Louisville,KY,2020,191988200,662028276,city funds,0.29,297,1675,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/louisville-ky,2026-09-14,189725100,2263100,1 : 386,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Manchester,NH,2020,25285675,158035469,city funds,0.16,225,150,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/manchester-nh,2026-09-14,25285675,0,1 : 750,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Memphis,TN,2020,274511008,722397389,city funds,0.38,419,2886,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/memphis-tn,2026-09-14,274511008,0,1 : 227,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Mesa,AZ,2020,198152493,1801386300,city funds,0.11,389,1255,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/mesa-az,2026-09-14,198152493,0,1 : 406,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Miami,FL,2020,281251000,852275758,city funds,0.33,564,1918,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/miami-fl,2026-09-14,281251000,0,1 : 260,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Milwaukee,WI,2020,321470403,554259316,city funds,0.58,502,3064,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/milwaukee-wi,2026-09-14,318651881,2818522,1 : 209,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Minneapolis,MN,2020,193360000,552457143,city funds,0.35,444,1122,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/minneapolis-mn,2026-09-14,193360000,0,1 : 388,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Nashville,TN,2020,216790900,1032337619,city funds,0.21,311,2044,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/nashville-tn,2026-09-14,216790900,0,1 : 341,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
New Orleans,LA,2020,206887632,862031800,city funds,0.24,449,2954,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/new-orleans-la,2026-09-14,194054969,12832663,1 : 156,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
New York,NY,2020,11036298140,137953726750,city funds,0.08,626,108826,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/new-york-ny,2026-09-14,5595282792,5441015348,1 : 162,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Newark,NJ,2019,207955896,717089297,city funds,0.29,737,827,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/newark-nj,2026-09-14,154625080,53330816,1 : 341,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Oklahoma City,OK,2020,226626456,781470538,city funds,0.29,238,2262,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/oklahoma-city-ok,2026-09-14,226626456,0,1 : 421,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Omaha,NE,2020,159838743,420628271,city funds,0.38,340,1059,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/omaha-ne,2026-09-14,159838743,0,1 : 444,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Philadelphia,PA,2020,956632151,6377547673,city funds,0.15,468,9734,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/philadelphia-pa,2026-09-14,956632151,0,1 : 210,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Phoenix,AZ,2020,909129491,2217389002,city funds,0.41,341,7016,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/phoenix-az,2026-09-14,733671491,175458000,1 : 380,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Portland,ME,2020,17757540,197306000,city funds,0.09,267,221,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/portland-me,2026-09-14,17757540,0,1 : 301,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Portland,OR,2020,238190326,768355890,city funds,0.31,352,1351,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/portland-or,2026-09-14,238190326,0,1 : 501,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
