ori,agency_name,city,state,year,population_covered,months_reported,violent_crime,murder,rape,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,reporting_system,source_file,retrieved
AK0010100,Anchorage,Anchorage,AK,2012,299143,12,2479,15,303,488,1673,10543,1158,8554,831,SRS,RETA12.DAT,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2013,299455,12,2435,14,408,522,1491,12032,1318,9845,869,SRS,RETURNA2013.TXT,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2014,301306,12,2605,12,392,496,1705,11531,1375,9217,939,SRS,RETA14.DAT,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2015,301239,12,3226,26,517,621,2062,11801,1685,8962,1154,SRS,RETA-COMB.txt,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2016,299097,12,3422,28,542,695,2157,14649,2008,10599,2042,SRS,RETA2016.TXT,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2017,296188,12,3780,27,607,778,2368,16041,2216,10721,3104,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2018,291992,12,3824,26,613,717,2468,14389,2068,9498,2823,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2019,287731,12,3581,32,540,621,2388,12261,1692,9038,1531,SRS,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2020,286388,12,3472,18,558,558,2338,9872,1444,7279,1149,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2021,286238,,,,,,,,,,,,reta-2021.txt,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2022,285821,12,3291,29,492,436,2334,7900,1179,5605,1116,converted,reta-2022.txt,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2023,285026,12,3022,19,427,461,2115,8243,953,6078,1212,converted,reta-2023.txt,2026-09-15
AK0010100,Anchorage,Anchorage,AK,2024,286958,12,2917,28,462,479,1948,7937,910,5813,1214,converted,reta-2024.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2012,213266,12,3237,67,152,983,2035,14788,4704,9042,1042,SRS,RETA12.DAT,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2013,212001,12,2852,63,178,969,1642,14157,4018,8661,1478,SRS,RETURNA2013.TXT,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2014,212115,12,3369,52,182,1051,2084,13929,3750,8743,1436,SRS,RETA14.DAT,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2015,212291,12,3707,79,159,1114,2355,13499,3146,8838,1515,SRS,RETA-COMB.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2016,212549,12,3420,78,150,947,2245,12470,2792,8161,1517,SRS,RETA2016.TXT,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2017,212178,10,2415,59,120,611,1625,8884,1744,6026,1114,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2018,210564,12,4025,88,180,941,2816,13295,2555,8988,1752,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2019,209649,,,,,,,,,,,,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2020,209081,12,866,35,22,158,651,2985,535,2037,413,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2021,206476,12,3138,93,63,410,2572,7426,1409,4442,1575,converted,reta-2021.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2022,195050,12,3306,143,66,488,2609,8292,1539,4925,1828,converted,reta-2022.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2023,195224,12,3032,122,40,454,2416,9001,1410,5452,2139,converted,reta-2023.txt,2026-09-15
AL0010200,Birmingham,Birmingham,AL,2024,195418,12,2491,116,31,399,1945,8154,1467,5046,1641,converted,reta-2024.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2012,82332,12,86,2,13,46,25,2182,393,1704,85,SRS,RETA12.DAT,2026-09-15
AL0011200,Hoover,Hoover,AL,2013,84139,12,74,2,9,34,29,2595,344,2143,108,SRS,RETURNA2013.TXT,2026-09-15
AL0011200,Hoover,Hoover,AL,2014,84843,12,98,1,15,50,32,2259,270,1910,79,SRS,RETA14.DAT,2026-09-15
AL0011200,Hoover,Hoover,AL,2015,85163,12,129,3,23,51,52,2462,302,2087,73,SRS,RETA-COMB.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2016,85601,12,104,3,19,40,42,1162,203,878,81,SRS,RETA2016.TXT,2026-09-15
AL0011200,Hoover,Hoover,AL,2017,85634,12,84,2,19,33,30,1000,214,721,65,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2018,85521,12,63,2,20,22,19,1190,161,971,58,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2019,85670,12,118,4,18,27,69,1931,129,1701,101,SRS,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2020,86321,12,84,6,8,19,51,1478,123,1268,87,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2021,86514,12,127,1,17,27,82,1564,164,1298,102,converted,reta-2021.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2022,92491,12,91,2,17,13,59,1473,114,1276,83,converted,reta-2022.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2023,92296,12,72,0,10,8,54,1332,94,1140,98,converted,reta-2023.txt,2026-09-15
AL0011200,Hoover,Hoover,AL,2024,92352,12,72,3,9,9,51,1174,72,1040,62,converted,reta-2024.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2012,251516,12,1314,32,45,460,777,12103,2796,8755,552,SRS,RETA12.DAT,2026-09-15
AL0020100,Mobile,Mobile,AL,2013,250557,12,1541,29,88,459,965,13011,3207,9123,681,SRS,RETURNA2013.TXT,2026-09-15
AL0020100,Mobile,Mobile,AL,2014,250655,12,1488,31,136,428,893,11603,2847,8225,531,SRS,RETA14.DAT,2026-09-15
AL0020100,Mobile,Mobile,AL,2015,250346,12,1529,24,116,402,987,10794,2208,7977,609,SRS,RETA-COMB.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2016,249921,12,1709,44,89,438,1138,11769,2628,8261,880,SRS,RETA2016.TXT,2026-09-15
AL0020100,Mobile,Mobile,AL,2017,248431,12,1839,50,142,440,1207,13549,3023,9267,1259,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2018,245475,12,1613,26,168,378,1041,12094,2568,8442,1084,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2019,244775,,,,,,,,,,,,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2020,243900,12,337,9,43,49,236,2283,409,1647,227,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2021,242894,12,2495,48,127,186,2134,7055,1282,5114,659,converted,reta-2021.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2022,239323,12,2273,42,127,139,1965,7243,1069,5554,620,converted,reta-2022.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2023,237469,12,2118,30,85,150,1853,5924,882,4469,573,converted,reta-2023.txt,2026-09-15
AL0020100,Mobile,Mobile,AL,2024,237092,12,1765,39,48,125,1553,3979,740,2836,403,converted,reta-2024.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2012,209018,12,827,44,41,459,283,12058,3409,7548,1101,SRS,RETA12.DAT,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2013,205087,12,833,3,38,321,471,8262,1826,5570,866,SRS,RETURNA2013.TXT,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2014,200194,12,1046,35,35,450,526,9025,2548,5817,660,SRS,RETA14.DAT,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2015,199139,12,1042,33,40,391,578,8363,2342,5280,741,SRS,RETA-COMB.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2016,199565,12,1215,30,62,448,675,8989,2293,5824,872,SRS,RETA2016.TXT,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2017,199099,12,1277,38,52,346,841,8800,2129,5827,844,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2018,198662,12,1216,29,39,391,757,8480,2052,5456,972,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2019,197315,,,,,,,,,,,,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2020,197755,12,522,18,9,141,354,2639,562,1776,301,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2021,195361,12,9,1,0,1,7,19,5,6,8,converted,reta-2021.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2022,197333,12,22,6,0,1,15,50,7,30,13,converted,reta-2022.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2023,195484,12,261,9,6,72,174,1067,304,569,194,converted,reta-2023.txt,2026-09-15
AL0030100,Montgomery,Montgomery,AL,2024,193728,12,1168,37,16,376,739,4368,1030,2620,718,converted,reta-2024.txt,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2012,183691,12,1696,14,72,456,1154,9261,2165,6386,710,SRS,RETA12.DAT,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2013,184738,12,1507,24,87,391,1005,9216,1884,6629,703,SRS,RETURNA2013.TXT,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2014,187624,12,1467,15,104,390,958,9161,1912,6521,728,SRS,RETA14.DAT,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2015,190106,12,1541,18,132,368,1023,8743,1761,6219,763,SRS,RETA-COMB.txt,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2016,192587,12,1787,18,152,414,1203,9398,1692,6812,894,SRS,RETA2016.TXT,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2017,195173,12,1766,22,172,360,1212,9232,1428,6758,1046,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2018,196620,12,1423,28,149,300,946,8244,1262,5961,1021,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2019,199465,06,872,12,79,159,622,3854,554,2804,496,SRS,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2020,202884,12,701,7,68,102,524,3125,463,2273,389,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2021,205307,12,28,3,5,4,16,122,6,93,23,converted,reta-2021.txt,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2022,218897,12,966,15,92,91,768,4278,676,3024,578,converted,reta-2022.txt,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2023,224777,12,1012,11,119,121,761,5387,761,4054,572,converted,reta-2023.txt,2026-09-15
AL0470100,Huntsville,Huntsville,AL,2024,228697,12,1105,19,111,123,852,5462,735,4137,590,converted,reta-2024.txt,2026-09-15
AL0630100,Tuscaloosa,Tuscaloosa,AL,2012,91973,12,478,4,37,170,267,4349,1182,2965,202,SRS,RETA12.DAT,2026-09-15
AL0630100,Tuscaloosa,Tuscaloosa,AL,2013,94126,12,434,8,44,161,221,4512,1165,3196,151,SRS,RETURNA2013.TXT,2026-09-15
AL0630100,Tuscaloosa,Tuscaloosa,AL,2014,96412,12,466,9,53,176,228,4138,1042,2913,183,SRS,RETA14.DAT,2026-09-15
AL0630100,Tuscaloosa,Tuscaloosa,AL,2015,97511,12,560,7,45,200,308,4210,1132,2892,186,SRS,RETA-COMB.txt,2026-09-15
AL0630100,Tuscaloosa,Tuscaloosa,AL,2016,99925,12,480,14,54,172,240,3732,794,2708,230,SRS,RETA2016.TXT,2026-09-15
AL0630100,Tuscaloosa,Tuscaloosa,AL,2017,101124,12,474,9,54,168,243,4174,814,3161,199,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0630100,Tuscaloosa,Tuscaloosa,AL,2018,101764,12,514,5,47,140,322,4415,753,3347,315,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0630100,Tuscaloosa,Tuscaloosa,AL,2019,102518,08,368,4,20,111,233,2557,410,1973,174,SRS,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0630100,Tuscaloosa,Tuscaloosa,AL,2020,102391,12,356,9,16,62,269,2043,306,1544,193,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AL0630100,Tuscaloosa,Tuscaloosa,AL,2021,104151,12,223,8,13,32,170,1089,118,859,112,converted,reta-2021.txt,2026-09-15
AL0630100,Tuscaloosa,Tuscaloosa,AL,2022,101280,12,654,13,27,61,553,2951,360,2336,255,converted,reta-2022.txt,2026-09-15
AL0630100,Tuscaloosa,Tuscaloosa,AL,2023,113956,12,643,13,30,76,524,3378,352,2692,334,converted,reta-2023.txt,2026-09-15
AL0630100,Tuscaloosa,Tuscaloosa,AL,2024,113834,12,641,21,23,68,529,3128,365,2474,289,converted,reta-2024.txt,2026-09-15
AR0600200,Little Rock,Little Rock,AR,2012,196055,12,2582,45,138,807,1592,15850,4254,10497,1099,SRS,RETA12.DAT,2026-09-15
AR0600200,Little Rock,Little Rock,AR,2013,197399,12,2790,34,123,947,1686,15597,3809,10696,1092,SRS,RETURNA2013.TXT,2026-09-15
AR0600200,Little Rock,Little Rock,AR,2014,198217,12,2785,43,140,744,1858,14672,3107,10675,890,SRS,RETA14.DAT,2026-09-15
AR0600200,Little Rock,Little Rock,AR,2015,198647,12,2990,32,177,673,2108,13150,2389,9909,852,SRS,RETA-COMB.txt,2026-09-15
AR0600200,Little Rock,Little Rock,AR,2016,198800,12,3050,42,164,658,2186,13778,2355,10275,1148,SRS,RETA2016.TXT,2026-09-15
AR0600200,Little Rock,Little Rock,AR,2017,199314,12,3279,54,192,505,2528,13884,2384,10367,1133,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AR0600200,Little Rock,Little Rock,AR,2018,199288,12,2891,40,223,371,2257,13111,2086,9900,1125,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AR0600200,Little Rock,Little Rock,AR,2019,198382,12,3029,36,216,393,2384,12182,1766,9347,1069,SRS,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AR0600200,Little Rock,Little Rock,AR,2020,197688,12,3661,47,201,376,3037,9607,1528,7067,1012,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AR0600200,Little Rock,Little Rock,AR,2021,198260,12,4091,63,251,397,3380,10645,1970,7620,1055,converted,reta-2021.txt,2026-09-15
AR0600200,Little Rock,Little Rock,AR,2022,201513,12,3694,79,250,429,2936,10782,1926,7777,1079,converted,reta-2022.txt,2026-09-15
AR0600200,Little Rock,Little Rock,AR,2023,202986,12,3657,63,249,454,2891,11035,1881,8139,1015,converted,reta-2023.txt,2026-09-15
AR0600200,Little Rock,Little Rock,AR,2024,204247,12,3417,36,235,446,2700,10665,1916,7822,927,converted,reta-2024.txt,2026-09-15
AR0660100,Fort Smith,Fort Smith,AR,2012,87483,12,689,5,70,95,519,4771,1064,3524,183,SRS,RETA12.DAT,2026-09-15
AR0660100,Fort Smith,Fort Smith,AR,2013,87821,12,606,4,79,94,429,4621,975,3447,199,SRS,RETURNA2013.TXT,2026-09-15
AR0660100,Fort Smith,Fort Smith,AR,2014,87989,12,662,4,74,106,478,4677,866,3631,180,SRS,RETA14.DAT,2026-09-15
AR0660100,Fort Smith,Fort Smith,AR,2015,87603,12,702,5,64,119,514,5162,953,3990,219,SRS,RETA-COMB.txt,2026-09-15
AR0660100,Fort Smith,Fort Smith,AR,2016,88573,12,714,4,71,98,541,5229,888,4008,333,SRS,RETA2016.TXT,2026-09-15
AR0660100,Fort Smith,Fort Smith,AR,2017,88437,12,789,9,73,107,600,4512,832,3346,334,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AR0660100,Fort Smith,Fort Smith,AR,2018,88290,12,734,9,91,98,536,4435,728,3414,293,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AR0660100,Fort Smith,Fort Smith,AR,2019,88041,12,863,3,97,90,673,5127,812,3928,387,SRS,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AR0660100,Fort Smith,Fort Smith,AR,2020,88071,12,1031,6,95,107,823,4873,637,3717,519,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AR0660100,Fort Smith,Fort Smith,AR,2021,87912,12,999,9,97,71,822,4915,668,3676,571,converted,reta-2021.txt,2026-09-15
AR0660100,Fort Smith,Fort Smith,AR,2022,90013,12,939,2,70,66,801,4449,733,3291,425,converted,reta-2022.txt,2026-09-15
AR0660100,Fort Smith,Fort Smith,AR,2023,90417,12,925,4,86,56,779,3770,478,2966,326,converted,reta-2023.txt,2026-09-15
AR0660100,Fort Smith,Fort Smith,AR,2024,89977,12,760,0,83,59,618,3315,420,2613,282,converted,reta-2024.txt,2026-09-15
AR0720100,Fayetteville,Fayetteville,AR,2012,75387,12,388,1,58,40,289,3044,504,2407,133,SRS,RETA12.DAT,2026-09-15
AR0720100,Fayetteville,Fayetteville,AR,2013,77900,12,340,3,33,33,271,3180,540,2480,160,SRS,RETURNA2013.TXT,2026-09-15
AR0720100,Fayetteville,Fayetteville,AR,2014,80263,12,398,1,45,45,307,3401,545,2603,253,SRS,RETA14.DAT,2026-09-15
AR0720100,Fayetteville,Fayetteville,AR,2015,82377,12,412,5,40,56,311,3642,427,2854,361,SRS,RETA-COMB.txt,2026-09-15
AR0720100,Fayetteville,Fayetteville,AR,2016,84726,12,459,3,60,65,331,3735,485,2906,344,SRS,RETA2016.TXT,2026-09-15
AR0720100,Fayetteville,Fayetteville,AR,2017,85592,12,518,1,93,71,353,4078,465,3268,345,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AR0720100,Fayetteville,Fayetteville,AR,2018,87008,12,500,1,85,60,354,3779,444,2904,431,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AR0720100,Fayetteville,Fayetteville,AR,2019,88500,12,401,3,60,52,286,3982,400,3160,422,SRS,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AR0720100,Fayetteville,Fayetteville,AR,2020,89252,12,524,7,70,55,392,4657,415,3712,530,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AR0720100,Fayetteville,Fayetteville,AR,2021,91309,12,571,5,73,66,427,4429,379,3453,597,converted,reta-2021.txt,2026-09-15
AR0720100,Fayetteville,Fayetteville,AR,2022,96456,12,499,2,63,40,394,3906,338,3169,399,converted,reta-2022.txt,2026-09-15
AR0720100,Fayetteville,Fayetteville,AR,2023,101624,12,434,5,53,27,349,3286,256,2731,299,converted,reta-2023.txt,2026-09-15
AR0720100,Fayetteville,Fayetteville,AR,2024,104089,12,448,8,61,28,351,2488,238,2044,206,converted,reta-2024.txt,2026-09-15
AR0720200,Springdale,Springdale,AR,2012,71668,12,332,1,57,30,244,2692,457,2089,146,SRS,RETA12.DAT,2026-09-15
AR0720200,Springdale,Springdale,AR,2013,73939,12,354,3,77,29,245,2651,473,2056,122,SRS,RETURNA2013.TXT,2026-09-15
AR0720200,Springdale,Springdale,AR,2014,76304,,,,,,,,,,,,RETA14.DAT,2026-09-15
AR0720200,Springdale,Springdale,AR,2015,78001,,,,,,,,,,,,RETA-COMB.txt,2026-09-15
AR0720200,Springdale,Springdale,AR,2016,79288,,,,,,,,,,,,RETA2016.TXT,2026-09-15
AR0720200,Springdale,Springdale,AR,2017,79876,12,8,0,7,0,1,2,0,1,1,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AR0720200,Springdale,Springdale,AR,2018,80895,12,404,3,104,32,265,2731,359,2102,270,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AR0720200,Springdale,Springdale,AR,2019,82358,12,368,2,86,24,256,2483,241,1985,257,SRS,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AR0720200,Springdale,Springdale,AR,2020,85146,12,361,4,76,23,258,2590,295,1968,327,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AR0720200,Springdale,Springdale,AR,2021,85234,12,425,2,73,29,321,2610,296,1950,364,converted,reta-2021.txt,2026-09-15
AR0720200,Springdale,Springdale,AR,2022,90892,12,507,4,127,30,346,2335,252,1795,288,converted,reta-2022.txt,2026-09-15
AR0720200,Springdale,Springdale,AR,2023,90937,12,517,3,102,35,377,2440,202,1989,249,converted,reta-2023.txt,2026-09-15
AR0720200,Springdale,Springdale,AR,2024,91630,12,460,4,105,19,332,1800,185,1470,145,converted,reta-2024.txt,2026-09-15
AZ0070100,Avondale,Avondale,AZ,2012,78364,12,234,7,5,72,150,3682,685,2752,245,SRS,RETA12.DAT,2026-09-15
AZ0070100,Avondale,Avondale,AZ,2013,78905,12,213,2,7,63,141,3394,590,2622,182,SRS,RETURNA2013.TXT,2026-09-15
AZ0070100,Avondale,Avondale,AZ,2014,79472,12,228,2,26,68,132,3569,590,2825,154,SRS,RETA14.DAT,2026-09-15
AZ0070100,Avondale,Avondale,AZ,2015,80533,12,279,8,40,81,150,3096,528,2351,217,SRS,RETA-COMB.txt,2026-09-15
AZ0070100,Avondale,Avondale,AZ,2016,81605,12,234,2,33,78,121,3262,558,2459,245,SRS,RETA2016.TXT,2026-09-15
AZ0070100,Avondale,Avondale,AZ,2017,84041,12,257,6,27,97,127,3347,480,2633,234,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AZ0070100,Avondale,Avondale,AZ,2018,85204,12,286,6,20,73,187,2739,384,2111,244,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AZ0070100,Avondale,Avondale,AZ,2019,87117,12,251,1,21,82,147,3095,381,2467,247,SRS,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AZ0070100,Avondale,Avondale,AZ,2020,89338,12,310,1,14,59,236,3025,251,2552,222,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AZ0070100,Avondale,Avondale,AZ,2021,91009,12,349,7,21,73,248,3338,290,2805,243,converted,reta-2021.txt,2026-09-15
AZ0070100,Avondale,Avondale,AZ,2022,91467,12,384,6,39,71,268,2891,287,2328,276,converted,reta-2022.txt,2026-09-15
AZ0070100,Avondale,Avondale,AZ,2023,92661,12,430,6,54,82,288,2289,195,1820,274,converted,reta-2023.txt,2026-09-15
AZ0070100,Avondale,Avondale,AZ,2024,94911,12,358,5,49,37,267,2132,187,1685,260,converted,reta-2024.txt,2026-09-15
AZ0070300,Buckeye,Buckeye,AZ,2012,52213,12,54,3,1,11,39,1372,374,924,74,SRS,RETA12.DAT,2026-09-15
AZ0070300,Buckeye,Buckeye,AZ,2013,55710,12,49,1,1,17,30,1328,334,925,69,SRS,RETURNA2013.TXT,2026-09-15
AZ0070300,Buckeye,Buckeye,AZ,2014,58126,12,29,1,4,7,17,1141,195,878,68,SRS,RETA14.DAT,2026-09-15
AZ0070300,Buckeye,Buckeye,AZ,2015,61726,12,28,2,1,7,18,1103,189,855,59,SRS,RETA-COMB.txt,2026-09-15
AZ0070300,Buckeye,Buckeye,AZ,2016,64563,12,35,2,2,15,16,1025,115,839,71,SRS,RETA2016.TXT,2026-09-15
AZ0070300,Buckeye,Buckeye,AZ,2017,67147,12,86,4,28,16,38,1193,149,980,64,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AZ0070300,Buckeye,Buckeye,AZ,2018,71318,12,125,1,30,16,78,1348,171,1113,64,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AZ0070300,Buckeye,Buckeye,AZ,2019,77904,12,107,2,26,10,69,1265,146,1050,69,SRS,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AZ0070300,Buckeye,Buckeye,AZ,2020,83608,12,145,1,41,18,85,1184,141,952,91,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AZ0070300,Buckeye,Buckeye,AZ,2021,93218,12,172,4,46,9,113,1056,141,824,91,converted,reta-2021.txt,2026-09-15
AZ0070300,Buckeye,Buckeye,AZ,2022,110002,12,198,1,54,7,136,1149,140,892,117,converted,reta-2022.txt,2026-09-15
AZ0070300,Buckeye,Buckeye,AZ,2023,112048,12,207,2,59,12,134,933,104,701,128,converted,reta-2023.txt,2026-09-15
AZ0070300,Buckeye,Buckeye,AZ,2024,114513,12,192,3,59,9,121,885,101,653,131,converted,reta-2024.txt,2026-09-15
AZ0070500,Chandler,Chandler,AZ,2012,242721,12,628,4,64,149,411,6571,1147,5168,256,SRS,RETA12.DAT,2026-09-15
AZ0070500,Chandler,Chandler,AZ,2013,248718,12,575,2,52,162,359,5900,993,4628,279,SRS,RETURNA2013.TXT,2026-09-15
AZ0070500,Chandler,Chandler,AZ,2014,252369,12,466,1,60,111,294,5643,954,4461,228,SRS,RETA14.DAT,2026-09-15
AZ0070500,Chandler,Chandler,AZ,2015,258875,12,490,1,79,114,296,5393,770,4367,256,SRS,RETA-COMB.txt,2026-09-15
AZ0070500,Chandler,Chandler,AZ,2016,265922,12,558,4,124,157,273,6152,864,4895,393,SRS,RETA2016.TXT,2026-09-15
AZ0070500,Chandler,Chandler,AZ,2017,249355,12,647,5,130,142,370,5809,784,4653,372,SRS,2017_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AZ0070500,Chandler,Chandler,AZ,2018,255986,12,606,4,146,123,333,5430,658,4455,317,SRS,2018_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AZ0070500,Chandler,Chandler,AZ,2019,259881,12,593,4,134,102,353,5382,547,4458,377,SRS,2019_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AZ0070500,Chandler,Chandler,AZ,2020,264071,12,543,9,123,104,307,4898,505,3956,437,SRS,2020_RETA_NATIONAL_MASTER_FILE.txt,2026-09-15
AZ0070500,Chandler,Chandler,AZ,2021,281162,12,548,7,91,85,365,4833,543,3896,394,converted,reta-2021.txt,2026-09-15
AZ0070500,Chandler,Chandler,AZ,2022,281373,12,532,11,103,74,344,5144,481,4218,445,converted,reta-2022.txt,2026-09-15
AZ0070500,Chandler,Chandler,AZ,2023,282419,12,503,8,108,80,307,4128,390,3375,363,converted,reta-2023.txt,2026-09-15
AZ0070500,Chandler,Chandler,AZ,2024,281117,12,391,2,53,67,269,4259,343,3658,258,converted,reta-2024.txt,2026-09-15
AZ0071100,Gilbert,Gilbert,AZ,2012,214264,12,207,5,21,59,122,3462,737,2558,167,SRS,RETA12.DAT,2026-09-15
AZ0071100,Gilbert,Gilbert,AZ,2013,225232,12,199,1,15,47,136,3502,649,2698,155,SRS,RETURNA2013.TXT,2026-09-15
