ori,agency_name,city,state,year,sworn_officers,civilians,total_employees,population_covered,source_url,retrieved
AL0470100,Huntsville,Huntsville,AL,2024,437,116,553,228697,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0020100,Mobile,Mobile,AL,2018,494,221,715,245475,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0020100,Mobile,Mobile,AL,2019,482,153,635,244775,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0020100,Mobile,Mobile,AL,2020,495,252,747,243900,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0020100,Mobile,Mobile,AL,2021,459,142,601,242894,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0020100,Mobile,Mobile,AL,2022,422,135,557,239323,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0020100,Mobile,Mobile,AL,2023,438,142,580,237469,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0020100,Mobile,Mobile,AL,2024,468,136,604,237092,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0030100,Montgomery,Montgomery,AL,2018,474,92,566,198662,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0030100,Montgomery,Montgomery,AL,2019,467,96,563,197315,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0030100,Montgomery,Montgomery,AL,2020,485,84,569,197755,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0030100,Montgomery,Montgomery,AL,2021,438,45,483,195361,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0030100,Montgomery,Montgomery,AL,2022,390,77,467,197333,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0030100,Montgomery,Montgomery,AL,2023,331,74,405,195484,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0030100,Montgomery,Montgomery,AL,2024,280,130,410,193728,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0630100,Tuscaloosa,Tuscaloosa,AL,2017,264,78,342,101124,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0630100,Tuscaloosa,Tuscaloosa,AL,2018,274,75,349,101764,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0630100,Tuscaloosa,Tuscaloosa,AL,2019,279,77,356,102518,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0630100,Tuscaloosa,Tuscaloosa,AL,2020,283,71,354,102391,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0630100,Tuscaloosa,Tuscaloosa,AL,2021,273,71,344,104151,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0630100,Tuscaloosa,Tuscaloosa,AL,2022,261,64,325,101280,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0630100,Tuscaloosa,Tuscaloosa,AL,2023,254,67,321,113956,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AL0630100,Tuscaloosa,Tuscaloosa,AL,2024,248,70,318,113834,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AR0720100,Fayetteville,Fayetteville,AR,2021,123,45,168,91309,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AR0720100,Fayetteville,Fayetteville,AR,2022,123,47,170,96456,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AR0720100,Fayetteville,Fayetteville,AR,2023,132,49,181,101624,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AR0720100,Fayetteville,Fayetteville,AR,2024,141,54,195,104089,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AR0660100,Fort Smith,Fort Smith,AR,2022,162,43,205,90013,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AR0660100,Fort Smith,Fort Smith,AR,2023,164,51,215,90417,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AR0600200,Little Rock,Little Rock,AR,2017,509,118,627,199314,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AR0600200,Little Rock,Little Rock,AR,2018,575,126,701,199288,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AR0600200,Little Rock,Little Rock,AR,2019,581,132,713,198382,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AR0600200,Little Rock,Little Rock,AR,2020,560,176,736,197688,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AR0600200,Little Rock,Little Rock,AR,2021,534,125,659,198260,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AR0600200,Little Rock,Little Rock,AR,2022,514,117,631,201513,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AR0600200,Little Rock,Little Rock,AR,2023,518,111,629,202986,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AR0600200,Little Rock,Little Rock,AR,2024,527,110,637,204247,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AR0720200,Springdale,Springdale,AR,2022,140,56,196,90892,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AR0720200,Springdale,Springdale,AR,2023,141,63,204,90937,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AR0720200,Springdale,Springdale,AR,2024,142,60,202,91630,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0070100,Avondale,Avondale,AZ,2021,130,54,184,91009,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0070100,Avondale,Avondale,AZ,2022,152,68,220,91467,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0070100,Avondale,Avondale,AZ,2023,147,60,207,92661,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0070100,Avondale,Avondale,AZ,2024,159,83,242,94911,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0070300,Buckeye,Buckeye,AZ,2021,108,39,147,93218,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0070300,Buckeye,Buckeye,AZ,2022,107,37,144,110002,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0070300,Buckeye,Buckeye,AZ,2023,119,46,165,112048,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0070300,Buckeye,Buckeye,AZ,2024,133,44,177,114513,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0070500,Chandler,Chandler,AZ,2017,335,167,502,249355,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0070500,Chandler,Chandler,AZ,2018,332,162,494,255986,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0070500,Chandler,Chandler,AZ,2019,328,156,484,259881,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0070500,Chandler,Chandler,AZ,2020,318,154,472,264071,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0070500,Chandler,Chandler,AZ,2021,328,148,476,281162,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0070500,Chandler,Chandler,AZ,2022,329,156,485,281373,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0070500,Chandler,Chandler,AZ,2023,330,177,507,282419,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0070500,Chandler,Chandler,AZ,2024,337,172,509,281117,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0071100,Gilbert,Gilbert,AZ,2017,231,114,345,242090,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0071100,Gilbert,Gilbert,AZ,2018,232,154,386,247463,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0071100,Gilbert,Gilbert,AZ,2019,281,128,409,253619,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0071100,Gilbert,Gilbert,AZ,2020,289,133,422,259629,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0071100,Gilbert,Gilbert,AZ,2021,291,129,420,272941,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0071100,Gilbert,Gilbert,AZ,2022,319,147,466,277123,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0071100,Gilbert,Gilbert,AZ,2023,326,166,492,278495,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0071100,Gilbert,Gilbert,AZ,2024,305,164,469,277527,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
AZ0071300,Glendale,Glendale,AZ,2017,423,128,551,249273,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads (Law Enforcement Employees Data; file additional-datasets/law-enforcement/lee_1960_2025.csv),2026-09-14
