agency_name,city,state,fiscal_year,operating_budget_usd,sworn_officers,source,source_url,retrieved
Jackson Police,Jackson,MS,2000,29000000,419,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Charlotte-Mecklenburg Police,Charlotte,NC,1990,42487526,930,"BJS, Police Departments in Large Cities, 1990-2000 (NCJ 175703), appendix table C. Printed in constant 2000 dollars; converted to nominal FY1990 dollars by dividing by BJS's stated CPI factor 1.3393. The table prints only the city; agency name carried over from the LEMAS volumes.",https://bjs.ojp.gov/content/pub/pdf/pdlc00.pdf,2026-09-14
Charlotte-Mecklenburg Police,Charlotte,NC,1997,87469457,1286,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Charlotte-Mecklenburg Police,Charlotte,NC,2000,111642098,1442,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Durham Police,Durham,NC,1993,17451902,305,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Durham Police,Durham,NC,1997,26546752,348,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Durham Police,Durham,NC,2000,31055470,459,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Fayetteville Police,Fayetteville,NC,2000,18603512,279,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Greensboro Police,Greensboro,NC,1993,26034005,425,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Greensboro Police,Greensboro,NC,1997,32858799,448,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
