agency_name,city,state,fiscal_year,operating_budget_usd,sworn_officers,source,source_url,retrieved
South Bend Police,South Bend,IN,1993,10165967,238,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
South Bend Police,South Bend,IN,1997,13557798,246,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
South Bend Police,South Bend,IN,2000,19000000,257,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Kansas City Police,Kansas City,KS,1993,22765665,330,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Kansas City Police,Kansas City,KS,1997,25263228,369,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Kansas City Police,Kansas City,KS,2000,32071917,354,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Topeka Police,Topeka,KS,1993,16364437,248,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Topeka Police,Topeka,KS,1997,17816468,278,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Topeka Police,Topeka,KS,2000,20243255,283,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Wichita Police,Wichita,KS,1990,22084646,423,"BJS, Police Departments in Large Cities, 1990-2000 (NCJ 175703), appendix table C. Printed in constant 2000 dollars; converted to nominal FY1990 dollars by dividing by BJS's stated CPI factor 1.3393. The table prints only the city; agency name carried over from the LEMAS volumes.",https://bjs.ojp.gov/content/pub/pdf/pdlc00.pdf,2026-09-14
Wichita Police,Wichita,KS,1993,27414976,467,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Wichita Police,Wichita,KS,1997,35030495,590,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Wichita Police,Wichita,KS,2000,48000000,609,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Louisville Police,Louisville,KY,1990,33659772,630,"BJS, Police Departments in Large Cities, 1990-2000 (NCJ 175703), appendix table C. Printed in constant 2000 dollars; converted to nominal FY1990 dollars by dividing by BJS's stated CPI factor 1.3393. The table prints only the city; agency name carried over from the LEMAS volumes.",https://bjs.ojp.gov/content/pub/pdf/pdlc00.pdf,2026-09-14
Louisville Police,Louisville,KY,1993,40235066,630,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Louisville Police,Louisville,KY,1997,51711420,654,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Louisville Police,Louisville,KY,2000,64721454,689,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Baton Rouge Police,Baton Rouge,LA,1993,30377120,649,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Baton Rouge Police,Baton Rouge,LA,1997,39659910,643,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Baton Rouge Police,Baton Rouge,LA,2000,48510590,599,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Lafayette Police,Lafayette,LA,2000,14750036,228,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
New Orleans Police,New Orleans,LA,1990,75986080,1397,"BJS, Police Departments in Large Cities, 1990-2000 (NCJ 175703), appendix table C. Printed in constant 2000 dollars; converted to nominal FY1990 dollars by dividing by BJS's stated CPI factor 1.3393. The table prints only the city; agency name carried over from the LEMAS volumes.",https://bjs.ojp.gov/content/pub/pdf/pdlc00.pdf,2026-09-14
New Orleans Police,New Orleans,LA,1997,100433000,1576,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
New Orleans Police,New Orleans,LA,2000,102000000,1664,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Shreveport Police,Shreveport,LA,1993,15106343,439,"BJS LEMAS 1993, Data for Individual State and Local Agencies with 100 or More Officers (NCJ-148825), Table 7a",https://bjs.ojp.gov/content/pub/pdf/lemas93.pdf,2026-09-14
Shreveport Police,Shreveport,LA,1997,23039124,501,"BJS LEMAS 1997, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 171681), Table 6a",https://bjs.ojp.gov/content/pub/pdf/lemas97.pdf,2026-09-14
Shreveport Police,Shreveport,LA,2000,34896442,497,"BJS LEMAS 2000, Data for Individual State and Local Agencies with 100 or More Officers (NCJ 203350), Table 5a",https://bjs.ojp.gov/content/pub/pdf/lemas00.pdf,2026-09-14
Boston Police,Boston,MA,1990,119970309,2053,"BJS, Police Departments in Large Cities, 1990-2000 (NCJ 175703), appendix table C. Printed in constant 2000 dollars; converted to nominal FY1990 dollars by dividing by BJS's stated CPI factor 1.3393. The table prints only the city; agency name carried over from the LEMAS volumes.",https://bjs.ojp.gov/content/pub/pdf/pdlc00.pdf,2026-09-14
