city,state,fiscal_year,view,population,police_usd,fire_usd,total_expenditure_usd,general_expenditure_usd,source_url,retrieved
Mobile,AL,2023,city_only,202584,60844079,34698588,464383303,394755182,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Mobile,AL,2023,fisc,202584,88357012,34698588,1147761936,1067929659,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Montgomery,AL,2012,city_only,205223,43616695,31842693,218879853,209380550,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Montgomery,AL,2012,fisc,205223,55345853,32012793,847284384,837662918,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Montgomery,AL,2017,city_only,200645,45774396,33118201,310038849,217834731,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Montgomery,AL,2017,fisc,200645,56253164,33295752,1045783292,953224071,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Montgomery,AL,2022,city_only,198310,44059365,33092141,301160581,212163787,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Montgomery,AL,2022,fisc,198310,62658695,33446414,1209927849,1120879627,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Montgomery,AL,2023,city_only,197126,49468770,42732974,279633087,186733517,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Montgomery,AL,2023,fisc,197126,69544082,46555247,1287134217,1194128199,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Ft. Smith,AR,2012,city_only,87229,15697006,9573846,159323752,126038108,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Ft. Smith,AR,2012,fisc,87229,18672483,10519662,355757165,322129739,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Ft. Smith,AR,2017,city_only,87699,14551676,12057022,192831932,154049804,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Ft. Smith,AR,2017,fisc,87699,18200530,12512777,407262091,364013432,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Ft. Smith,AR,2022,city_only,89411,14452917,13550361,176114332,139027958,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
